temperature,rainfall,humidity,yeild_apples
25,85,77,63
96,66,93,88
74,84,38,58
24,62,22,31
43,24,34,35
92,47,34,54
50,70,60,59
45,86,65,63
35,40,65,51
44,100,63,65
28,42,21,27
52,65,68,63
32,88,89,72
70,55,97,80
55,90,75,72
71,66,39,54
24,51,27,31
83,53,89,80
89,33,38,52
61,71,56,60
65,46,69,63
90,25,90,77
56,66,32,46
20,33,71,48
60,36,23,37
29,30,22,26
61,26,44,46
81,80,57,69
84,32,96,80
27,53,28,33
92,85,89,89
68,63,21,44
22,73,40,41
54,29,93,68
38,23,60,46
43,73,92,74
59,90,31,51
80,57,69,70
72,81,78,77
22,44,61,46
74,82,22,50
69,91,98,88
22,90,37,43
63,33,23,37
62,61,62,62
33,44,87,62
73,53,22,44
76,88,99,90
43,56,77,63
75,83,82,80
32,77,49,50
81,66,29,52
94,51,42,59
35,57,82,63
64,70,60,63
71,30,99,77
30,93,23,39
24,98,90,72
85,89,78,82
28,78,53,50
38,30,27,31
63,70,20,43
100,45,87,82
72,27,81,68
31,97,47,52
21,85,66,56
100,34,44,59
28,89,25,39
38,84,44,50
47,26,45,42
33,70,33,40
35,77,75,63
32,75,85,67
96,74,68,78
51,66,35,46
46,25,86,62
31,39,79,57
26,92,38,45
54,57,50,53
95,39,22,47
74,56,32,49
99,57,86,84
26,22,33,29
87,61,81,79
41,97,40,52
97,67,49,67
99,41,51,63
73,21,56,54
44,22,27,31
53,72,26,43
34,27,95,63
80,49,40,54
93,75,69,77
25,94,90,71
100,31,20,46
57,75,60,62
80,89,74,79
69,38,72,64
50,70,66,62
68,100,55,68
79,58,79,75
86,44,32,51
37,67,98,74
82,65,35,55
32,45,49,43
76,62,30,50
68,35,23,39
60,96,24,49
73,81,27,52
22,49,48,40
29,97,59,58
44,41,61,52
86,97,73,82
67,23,79,64
72,55,52,59
60,21,34,39
86,79,99,91
37,33,60,48
25,68,52,47
86,29,31,47
67,48,32,46
87,63,64,71
20,75,65,54
94,53,45,61
35,28,64,48
69,21,60,55
68,82,33,53
92,32,42,55
65,61,67,65
86,82,67,76
39,95,39,50
76,79,27,52
58,38,83,66
22,55,76,56
59,93,75,74
72,88,36,57
67,60,98,81
71,46,76,68
63,72,97,82
40,37,33,36
51,72,26,43
91,53,93,84
99,66,83,84
23,75,37,40
21,65,27,33
25,57,61,49
89,33,30,48
88,69,51,66
27,72,63,54
68,24,93,72
80,80,33,56
98,30,33,52
87,26,76,69
51,40,28,37
72,57,82,74
23,61,54,46
25,77,62,54
95,86,55,73
50,29,99,70
85,32,72,68
57,63,59,59
73,99,92,88
31,32,49,40
50,94,30,49
71,94,33,57
24,80,48,47
95,63,88,85
21,99,55,54
36,34,89,62
59,33,28,38
51,23,85,62
76,50,79,72
37,69,34,42
33,33,36,34
43,25,87,61
53,23,75,58
42,44,33,38
88,83,53,70
88,38,34,51
55,72,22,42
90,48,94,84
33,86,58,56
80,91,38,61
46,46,36,41
44,29,60,49
83,80,48,65
42,86,47,53
35,58,44,44
81,43,20,43
55,45,49,50
87,28,24,44
31,78,58,54
45,38,29,36
95,52,77,77
63,32,96,73
40,33,58,48
46,91,63,64
80,33,74,68
41,41,39,40
42,96,48,56
41,61,57,53
22,37,90,59
90,64,35,57
81,24,60,59
52,56,34,44
80,32,69,65
86,35,70,68
35,97,65,62
26,30,96,62
60,89,76,74
28,22,93,59
48,93,71,68
40,63,29,39
98,75,58,73
99,97,38,68
45,83,71,66
61,29,100,74
30,36,55,44
49,47,46,47
96,83,58,74
33,51,26,33
52,77,23,42
85,65,28,52
84,51,25,48
51,31,96,70
88,46,35,53
43,59,60,55
30,51,61,50
48,80,42,51
80,66,38,56
73,88,57,68
42,53,74,60
35,40,61,49
26,87,36,43
96,95,34,65
41,58,84,66
99,45,56,67
80,54,75,72
32,81,38,45
65,33,77,65
47,83,26,44
28,62,40,41
59,97,88,81
30,89,29,41
25,23,56,40
44,55,74,61
72,99,92,87
100,49,48,64
96,87,46,69
22,80,47,46
46,49,37,42
58,20,65,54
32,77,87,68
39,20,93,62
38,22,97,64
89,79,88,86
69,90,67,72
84,89,79,82
27,79,100,74
66,88,52,63
45,37,25,33
49,58,40,46
51,100,98,84
91,46,79,76
32,88,93,74
83,97,89,89
79,93,26,55
51,98,20,45
27,27,46,36
42,87,77,68
35,95,46,52
89,40,67,68
37,42,47,43
35,77,51,51
42,40,64,53
28,64,35,39
100,89,94,95
96,58,52,66
82,55,33,52
37,71,77,64
68,65,41,54
92,88,59,75
88,85,58,72
35,35,62,48
99,21,88,78
93,29,88,78
49,87,63,64
93,99,77,86
40,83,41,49
57,60,74,66
82,66,63,69
60,62,27,44
63,96,71,74
95,47,65,70
29,88,28,40
95,72,59,72
65,96,79,78
37,22,26,28
40,38,37,38
98,36,48,61
51,28,71,56
76,80,69,73
41,88,30,45
88,87,27,57
55,36,56,52
89,32,63,65
44,59,68,59
85,83,69,77
36,93,55,57
22,37,73,50
70,84,77,76
43,54,51,49
67,21,86,67
98,43,50,63
68,40,84,70
38,94,82,71
35,81,27,40
56,79,52,59
64,37,58,56
52,93,94,81
54,48,96,74
81,56,85,78
30,55,27,34
76,81,92,85
75,72,89,81
33,27,79,55
89,81,21,53
47,22,70,54
22,29,20,22
48,37,51,47
45,46,42,44
26,31,78,53
28,44,34,34
84,82,63,73
71,45,98,79
83,68,98,88
45,48,31,39
68,37,46,51
66,94,98,88
48,35,20,31
39,97,85,74
27,55,92,65
58,45,87,70
99,64,21,53
36,55,65,54
65,37,66,60
46,89,61,62
20,90,82,65
73,21,30,41
60,52,71,64
43,86,62,61
80,79,80,80
59,42,21,37
41,52,87,66
67,91,52,64
69,39,55,56
69,62,95,81
45,64,67,60
60,26,64,55
68,33,58,56
96,21,73,70
71,38,86,72
96,34,68,70
97,28,31,50
39,50,34,39
95,92,89,91
89,22,73,68
72,78,95,85
80,42,46,55
28,74,40,43
83,31,83,73
69,77,97,85
76,46,40,52
33,53,38,40
29,84,79,65
54,35,89,68
32,38,37,36
61,40,91,72
75,27,92,74
80,49,92,80
90,65,35,58
46,77,97,78
95,40,61,67
39,80,99,77
62,29,77,63
96,55,80,80
45,30,99,69
95,42,27,50
41,43,29,35
52,51,35,43
59,22,80,62
62,30,83,66
22,34,37,32
86,71,69,74
47,55,54,52
79,67,89,82
92,67,86,84
84,39,77,72
58,52,27,41
35,86,52,54
35,81,54,54
90,82,60,73
95,100,66,82
75,97,24,54
87,59,81,78
93,41,94,83
81,47,98,83
65,71,91,79
87,20,84,72
82,71,100,89
87,41,99,84
45,96,89,77
26,81,81,64
23,94,82,67
25,77,91,68
73,100,72,78
68,37,20,38
39,61,50,49
62,74,38,52
92,58,81,80
86,20,24,42
69,95,58,69
90,73,61,72
65,55,80,70
43,48,97,71
80,24,76,67
68,45,60,59
76,34,91,75
69,64,77,72
44,72,91,73
68,40,91,74
83,85,43,63
72,40,25,42
54,80,97,81
66,72,32,50
20,66,26,32
98,86,42,68
92,64,91,86
29,48,69,53
77,58,23,46
92,48,26,50
80,77,38,58
23,39,54,42
94,85,52,71
98,59,100,91
55,55,23,39
21,72,98,70
42,98,96,80
61,70,73,69
46,59,40,46
27,86,36,43
48,91,58,62
72,54,66,65
51,56,100,76
61,86,95,83
42,92,86,74
85,33,53,59
33,32,95,64
86,21,77,68
94,49,83,80
24,26,94,59
30,97,73,65
69,89,93,85
60,71,94,79
30,99,36,47
92,74,62,73
91,61,80,80
59,74,23,44
70,50,90,76
53,79,59,61
40,58,29,38
71,91,28,54
85,77,78,80
88,29,65,65
34,79,76,64
41,58,89,68
20,63,82,60
59,68,30,46
30,84,32,42
51,38,75,60
38,23,95,64
32,83,52,52
74,33,56,57
99,45,28,53
53,28,21,32
39,29,64,50
67,72,80,74
75,25,64,60
23,77,33,39
73,98,31,57
93,86,95,93
100,99,67,83
85,30,40,52
44,76,52,54
26,52,49,43
100,58,90,87
48,50,51,50
41,40,83,62
79,78,85,82
45,73,29,43
47,79,38,49
53,53,79,66
97,96,52,74
61,54,90,74
58,52,94,75
78,29,58,58
36,54,30,37
24,42,68,50
95,54,61,70
85,90,53,70
81,35,93,78
71,21,57,54
24,71,97,70
30,56,98,69
83,20,46,52
49,34,81,62
38,24,94,63
99,87,83,89
55,88,60,64
82,69,28,52
44,49,29,38
85,79,87,85
94,69,79,82
24,33,69,48
35,56,83,63
32,73,52,50
49,46,64,56
25,57,80,59
42,97,33,48
80,99,84,86
85,85,51,68
81,57,74,73
38,71,34,43
23,25,40,32
85,32,39,51
95,81,91,90
46,100,79,73
98,27,90,80
99,22,100,84
73,34,45,51
21,45,97,64
69,76,38,55
55,78,95,80
27,73,79,62
23,72,49,46
48,70,80,68
87,73,74,78
52,31,47,45
78,98,73,80
82,89,53,69
70,77,28,50
72,25,88,71
48,52,66,58
55,50,84,68
44,52,31,39
44,49,70,58
50,44,88,68
38,43,72,56
80,98,92,90
44,54,76,62
60,50,75,66
50,62,88,71
39,26,83,58
38,43,60,50
87,26,69,66
68,90,41,59
70,83,60,68
44,35,23,32
61,100,48,62
84,28,60,61
96,89,90,92
51,69,75,67
55,53,20,37
73,100,76,80
89,31,92,79
27,81,68,58
57,67,45,53
49,90,29,47
52,73,67,64
78,66,97,85
81,34,75,69
100,20,96,82
65,45,38,48
42,85,65,62
29,34,56,44
75,73,97,86
96,92,56,75
21,23,67,44
90,87,61,75
69,53,43,53
65,55,93,77
46,32,48,44
91,58,73,75
91,60,43,61
22,54,63,49
64,99,40,59
70,86,29,53
31,88,28,41
89,20,71,66
62,77,49,58
67,100,26,53
51,29,36,39
48,97,35,51
71,97,29,55
29,36,92,62
54,56,73,64
68,79,48,60
47,98,87,77
27,26,81,54
66,44,31,44
58,31,98,73
50,92,48,57
96,53,49,64
87,54,97,85
71,56,47,56
92,67,56,69
74,31,55,56
25,57,85,61
26,24,93,59
26,23,69,47
49,92,96,81
39,98,69,66
38,36,82,60
27,23,51,38
79,97,47,67
80,84,50,66
47,79,27,43
45,91,88,76
78,29,91,75
36,59,85,65
38,55,43,44
42,98,81,73
100,49,26,53
58,41,76,64
31,24,49,39
89,27,33,49
62,93,42,58
53,71,76,68
81,86,89,86
82,88,86,85
50,89,75,70
56,76,56,60
54,57,75,65
38,94,78,69
58,79,74,70
53,70,83,71
55,62,58,58
74,36,64,61
87,36,33,50
96,61,64,73
71,86,86,82
37,36,57,47
75,70,31,52
95,57,75,77
66,29,89,70
57,97,41,57
42,92,90,76
67,20,83,66
26,91,70,61
38,28,41,38
90,30,30,48
98,67,50,68
42,20,53,43
44,21,41,38
54,79,53,58
81,56,22,46
75,57,33,50
47,80,28,44
56,56,94,75
99,91,88,92
35,45,91,65
35,57,65,54
45,71,50,53
25,95,65,59
70,56,90,77
50,33,54,49
89,38,93,81
32,91,96,76
98,92,57,76
92,49,35,55
29,47,62,49
43,39,89,65
85,98,20,55
44,92,62,63
61,61,81,71
59,79,40,54
87,61,83,80
43,39,35,38
64,75,85,77
52,20,92,66
21,91,80,64
28,53,85,62
22,86,28,38
53,86,93,80
99,55,28,55
62,96,71,73
32,98,57,58
81,100,58,73
90,87,100,94
60,58,76,68
80,60,98,85
77,75,98,87
48,63,71,62
51,94,77,73
53,99,65,68
31,62,72,58
91,93,26,59
93,96,33,64
31,68,26,36
49,75,41,50
92,30,60,64
70,82,93,84
20,93,74,62
58,42,47,49
42,78,80,68
67,60,49,57
75,57,70,69
92,20,45,54
82,50,58,64
75,69,88,80
95,69,43,64
20,59,36,36
57,40,82,66
91,28,72,69
98,30,73,72
80,54,32,51
68,89,21,49
56,65,37,48
61,30,46,47
72,51,64,64
78,80,64,71
34,96,89,74
88,49,73,73
54,63,42,50
59,67,27,45
67,65,36,51
79,62,75,74
76,47,46,55
81,27,68,64
50,41,77,62
37,20,38,34
87,87,54,70
85,94,53,71
60,77,57,62
52,93,36,52
83,52,65,68
24,79,26,36
56,88,91,80
67,70,88,78
27,56,97,68
91,36,58,64
74,83,64,71
44,91,37,50
91,29,72,69
63,75,25,46
42,62,91,70
86,92,71,80
99,63,47,66
26,62,60,50
91,60,79,79
39,54,73,59
98,58,70,76
62,80,64,67
82,97,79,84
51,50,79,65
86,55,70,72
54,73,40,51
20,49,68,50
33,84,100,77
79,36,86,74
83,85,22,53
44,97,28,47
44,61,53,52
54,47,84,68
31,70,73,60
40,78,46,51
53,30,77,60
39,34,49,43
39,74,37,45
39,91,69,64
96,48,48,62
95,79,74,81
25,64,48,44
71,58,82,74
78,78,74,76
76,20,46,50
54,50,70,61
37,60,43,45
81,50,29,49
53,60,35,45
43,53,45,46
100,74,85,87
76,36,30,45
78,89,32,57
78,86,83,82
77,42,90,76
26,98,25,40
51,72,82,71
93,63,94,88
60,71,59,62
26,27,31,29
35,56,20,32
20,64,35,36
71,83,79,77
45,83,41,51
29,74,32,40
86,60,72,74
94,46,76,75
59,59,37,48
31,55,74,57
37,60,41,44
77,49,71,68
42,73,77,66
32,100,95,77
80,59,45,58
67,40,79,68
63,64,95,79
25,96,48,51
64,55,41,51
26,85,89,69
57,67,75,68
94,27,80,74
59,34,25,37
97,47,63,70
63,37,99,76
65,100,53,66
88,56,96,86
31,38,24,29
43,24,43,39
37,29,89,61
50,68,79,68
37,88,64,61
35,33,53,44
75,86,85,82
87,35,89,78
62,33,67,59
97,80,30,60
33,40,56,46
78,86,53,67
87,52,78,76
71,53,81,72
32,28,80,55
87,84,59,72
67,83,49,61
75,20,80,66
84,37,68,67
28,88,44,48
22,68,33,37
53,31,44,44
31,40,74,54
89,89,39,64
94,67,78,81
24,49,46,40
79,70,20,48
64,71,29,48
94,91,72,82
62,83,56,63
98,64,64,74
35,33,37,36
94,37,85,78
80,68,98,87
82,37,89,76
73,92,65,73
79,21,41,48
88,29,30,47
74,98,53,68
39,96,55,58
48,95,44,55
41,79,33,45
76,80,89,83
93,97,83,89
61,27,66,57
78,79,48,63
60,52,66,61
34,94,42,50
65,31,53,52
36,72,28,39
83,20,60,59
47,48,100,74
36,82,91,73
80,53,57,63
35,59,94,69
34,56,66,54
40,69,82,67
68,48,64,62
22,22,28,25
26,33,27,28
49,28,27,34
32,98,70,64
26,26,84,55
84,52,75,73
98,59,76,79
89,88,34,61
35,35,82,58
41,75,46,50
97,87,72,82
59,84,65,67
97,40,43,59
71,95,51,66
67,46,41,50
51,62,76,66
25,42,68,50
56,28,66,55
40,39,83,61
70,26,76,64
72,46,79,70
80,72,65,71
98,20,26,46
76,53,71,69
30,31,97,64
54,51,87,70
39,34,71,54
100,89,57,76
30,37,52,42
29,100,63,60
100,37,26,50
35,93,31,45
80,35,96,79
77,35,65,63
30,42,84,59
86,88,94,90
26,48,73,54
69,51,48,55
87,64,21,49
69,53,77,70
53,73,72,66
41,82,28,43
61,27,95,71
33,91,92,74
34,57,33,38
97,60,21,52
66,22,45,47
40,54,30,38
55,47,28,40
21,55,53,44
37,68,37,43
46,39,22,33
27,43,28,31
23,26,75,50
27,89,24,38
20,87,56,51
86,59,61,68
80,50,20,44
70,35,97,76
33,40,54,45
90,54,67,71
76,92,51,67
87,85,65,76
24,64,78,59
24,48,43,38
65,28,36,43
25,69,64,53
82,50,25,47
39,23,58,45
25,42,91,61
46,31,52,46
93,23,37,51
92,87,74,82
43,80,62,60
29,52,28,33
99,85,33,63
44,85,75,68
94,75,27,57
90,80,29,58
36,89,97,77
29,83,30,40
74,53,29,47
71,68,32,51
85,25,42,52
44,23,66,51
75,31,86,72
100,31,69,71
20,59,46,41
70,82,38,56
23,74,83,63
68,51,61,61
63,77,49,59
94,29,33,50
74,24,32,43
81,50,21,45
89,32,28,47
39,67,100,75
99,79,70,80
98,88,66,80
36,100,91,76
59,57,40,49
41,53,75,60
31,71,84,66
71,47,78,70
97,47,51,64
25,74,73,59
32,40,48,42
48,87,84,74
71,41,62,60
64,81,91,81
70,87,53,65
29,41,78,56
69,40,44,51
41,54,41,44
57,84,21,44
23,46,81,57
48,49,53,51
34,39,66,51
63,100,24,51
93,71,36,60
82,48,22,45
94,65,79,81
75,73,49,62
56,95,62,67
38,20,56,43
59,20,96,70
43,23,56,46
46,26,38,38
45,78,58,58
50,32,72,57
59,76,22,44
95,63,75,79
35,46,78,59
92,31,94,81
35,84,98,76
83,57,83,78
88,57,95,85
91,30,70,68
68,86,33,54
58,91,39,55
65,77,83,76
78,80,54,66
52,84,43,54
41,87,31,45
85,36,47,56
90,72,58,70
33,41,42,39
38,46,95,68
51,50,52,51
92,21,27,45
48,61,86,70
83,69,99,88
68,45,64,61
49,41,33,39
100,23,86,78
87,43,38,54
38,32,57,46
90,95,69,80
38,78,32,43
45,70,88,72
52,93,55,62
73,93,97,89
65,83,58,65
50,84,52,58
37,73,89,70
70,96,78,79
25,23,70,47
43,56,27,38
59,71,90,77
52,74,22,41
96,20,67,66
29,99,36,46
96,43,99,87
20,100,90,71
94,60,56,68
34,77,64,58
38,45,95,68
85,85,33,59
33,59,38,41
27,67,73,58
22,31,77,51
89,97,93,93
85,98,25,58
72,42,60,60
78,85,76,78
83,40,79,72
40,59,95,71
78,59,90,80
46,50,75,61
29,72,94,70
56,67,51,56
27,92,64,58
90,97,73,83
47,58,40,46
24,30,21,24
54,66,39,49
49,22,78,58
70,50,39,50
42,36,27,33
54,100,60,66
26,66,36,39
32,40,59,47
40,71,32,42
97,38,73,73
52,93,56,62
20,96,69,60
24,70,97,70
30,38,89,61
85,50,87,79
65,89,82,78
41,32,85,61
58,40,67,59
29,78,61,55
38,21,66,49
22,53,57,46
41,44,27,35
70,68,46,58
24,29,72,49
32,91,51,53
37,76,91,72
76,92,30,56
71,25,36,44
49,79,77,69
37,87,39,48
100,98,83,91
78,66,25,49
78,65,88,80
92,60,83,81
51,41,33,40
92,49,41,58
94,41,50,61
79,33,91,76
26,66,96,69
50,98,61,65
62,65,90,77
80,78,26,53
28,99,64,60
50,30,35,38
87,20,66,63
62,62,77,70
56,72,38,50
56,50,79,66
43,95,58,61
58,74,48,56
87,97,81,86
76,49,93,79
83,27,93,77
58,98,84,79
82,65,52,64
59,82,53,61
20,79,67,55
84,80,74,78
36,45,30,35
41,96,91,77
23,70,28,35
57,68,69,65
92,21,88,76
74,40,40,50
92,82,87,88
45,56,32,41
69,22,37,44
40,89,92,76
59,39,46,48
76,71,29,52
88,46,94,83
